run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff
bb158br2509-aws-001,bb158br2509,bb158br2509_sl.m4a,en-US,bb158br2509_script.txt,en,70.717953,0.066887417218543,0.0649100257069408,0.0935323418588719,0.906467658141128,4365,137,138,28,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-aws-001.html
bg405cn7261-aws-002,bg405cn7261,bg405cn7261_v2_sl.mp4,en-US,bg405cn7261_v2_sl_script.txt,en,37.986806,0.0627386797599563,0.0602094240837696,0.0787275788279401,0.92127242117206,1795,36,77,2,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-aws-002.html
bw689yg2740-aws-004,bw689yg2740,bw689yg2740_sl.mp4,en-US,bw689yg2740_script.txt,en,187.660575,0.1903625110521662,0.1669768884752598,0.2041330979860894,0.7958669020139105,10741,492,1584,77,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bw689yg2740-aws-004.html
fh290wd1772-aws-005,fh290wd1772,fh290wd1772_v2_sp_sl.m4a,en-US,fh290wd1772_v2_sp_sl_script.txt,en,58.779434,0.855072463768116,0.855072463768116,0.8902064119455424,0.1097935880544576,50,16,0,279,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/fh290wd1772-aws-005.html
gj097zq7635-aws-006,gj097zq7635,gj097zq7635_a_sl.m4a,en-US,gj097zq7635_a_sl_script.txt,en,169.293599,0.152267818574514,0.1418867924528302,0.1939498650731498,0.8060501349268502,6822,430,542,156,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/gj097zq7635-aws-006.html
gk220dt2833-aws-007,gk220dt2833,gk220dt2833_Ali_Shan_10of10_sl.mp4,en-IN,gk220dt2833_Ali_Shan_10of10_sl_script.txt,en,93.415336,0.1394943330427201,0.1298701298701298,0.1699220400612815,0.8300779599387185,1072,50,85,25,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/gk220dt2833-aws-007.html
gn213vd3845-aws-008,gn213vd3845,gn213vd3845_ev_1_sl.mp4,es-US,gn213vd3845_ev_1_sl_spa_script.txt,es,54.142499,0.1593059936908517,0.1585557299843014,0.2422269816317273,0.7577730183682727,536,59,3,39,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/gn213vd3845-aws-008.html
kp010zv7055-aws-009,kp010zv7055,kp010zv7055_a_sl.m4a,es-US,kp010zv7055_a_sl_script.txt,en,62.754152,0.9070866141732284,0.9070866141732284,0.9646329692659386,0.0353670307340614,59,96,0,480,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/kp010zv7055-aws-009.html
qf378nj5000-aws-010,qf378nj5000,qf378nj5000_sl.mp4,en-US,qf378nj5000_script.txt,es,95.757488,0.1970443349753694,0.1780233271945979,0.226769988491066,0.773230011508934,5356,317,629,214,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/qf378nj5000-aws-010.html
tc482fh1865-aws-011,tc482fh1865,tc482fh1865_kfe_project_2023_wallace_sl.mp4,en-US,tc482fh1865_kfe_project_2023_wallace_script.txt,en,27.189467,0.1181364392678868,0.1139646869983948,0.1769561553255397,0.8230438446744602,552,42,22,7,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/tc482fh1865-aws-011.html
