run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff,options
bb158br2509-whisper-001,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,3751.747041,0.05762861558843012,0.05707413076754866,0.0770240067605884,0.9229759932394116,4312,92,44,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/bb158br2509-whisper-001.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-002,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,1418.956508,0.02237991266375546,0.022126281705342688,0.032279513708772245,0.9677204862912278,1812,19,21,1,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/bg405cn7261-whisper-002.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
br525sp8033-whisper-003,br525sp8033,br525sp8033_FV4289_v4_sl.mp4,ru,br525sp8033_FV4289_v4_sl_rus_script.txt,ru,513.360833,0.15602836879432624,0.1543859649122807,0.23434575127211377,0.7656542487278862,241,25,3,16,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/br525sp8033-whisper-003.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bw689yg2740-whisper-004,bw689yg2740,bw689yg2740_sl.mp4,en,bw689yg2740_script.txt,en,8025.186742,0.11309576443540544,0.10776879002359285,0.14483011930469858,0.8551698806953014,10589,446,559,274,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/bw689yg2740-whisper-004.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
fh290wd1772-whisper-005,fh290wd1772,fh290wd1772_v2_sp_sl.m4a,en,fh290wd1772_v2_sp_sl_script.txt,en,185.653383,0.29069767441860467,0.2881844380403458,0.38632614468496007,0.6136738553150399,247,39,3,58,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/fh290wd1772-whisper-005.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
gj097zq7635-whisper-006,gj097zq7635,gj097zq7635_a_sl.m4a,en,gj097zq7635_a_sl_script.txt,en,4751.485338,0.09936546510058053,0.09636030374443572,0.13579276153389186,0.8642072384661081,6902,309,231,196,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/gj097zq7635-whisper-006.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
gk220dt2833-whisper-007,gk220dt2833,gk220dt2833_Ali_Shan_10of10_sl.mp4,en,gk220dt2833_Ali_Shan_10of10_sl_script.txt,en,617.842409,0.08900523560209424,0.08710503842869342,0.12065815919800793,0.8793418408019921,1069,40,25,37,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/gk220dt2833-whisper-007.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
gn213vd3845-whisper-008,gn213vd3845,gn213vd3845_ev_1_sl.mp4,es,gn213vd3845_ev_1_sl_spa_script.txt,es,459.003698,0.2353870458135861,0.23427672955974843,0.29306685743241234,0.7069331425675877,487,40,3,106,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/gn213vd3845-whisper-008.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
kp010zv7055-whisper-009,kp010zv7055,kp010zv7055_a_sl.m4a,en,kp010zv7055_a_sl_script.txt,en,706.003798,0.944794952681388,0.944794952681388,0.9952873740093868,0.004712625990613219,35,375,0,224,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/kp010zv7055-whisper-009.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
qf378nj5000-whisper-010,qf378nj5000,qf378nj5000_sl.mp4,en,qf378nj5000_script.txt,en,3769.095157,0.14169215086646278,0.13475521085797382,0.17439354859773426,0.8256064514022657,5355,243,303,288,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/qf378nj5000-whisper-010.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
tc482fh1865-whisper-011,tc482fh1865,tc482fh1865_kfe_project_2023_wallace_sl.mp4,en,tc482fh1865_kfe_project_2023_wallace_script.txt,en,389.315036,0.041666666666666664,0.04145936981757877,0.06261503928170586,0.9373849607182941,578,13,3,9,https://sul-dlss.github.io/whisper-pilot/output-2024-04-30/tc482fh1865-whisper-011.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
