run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff,options
bb158br2509-whisper-021,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,277.444349,0.0551876379690949,0.0545375218150087,0.0765077164363289,0.9234922835636712,4334,102,54,94,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-021.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-022,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,277.511495,0.0551876379690949,0.0545375218150087,0.0765077164363289,0.9234922835636712,4334,102,54,94,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-022.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-037,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,277.280526,0.0551876379690949,0.0545375218150087,0.0765077164363289,0.9234922835636712,4334,102,54,94,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-037.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-038,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,277.261359,0.0551876379690949,0.0545375218150087,0.0765077164363289,0.9234922835636712,4334,102,54,94,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-038.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-017,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,276.90795,0.0584988962472406,0.0576588337684943,0.0798351238655874,0.9201648761344126,4331,103,66,96,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-017.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-018,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,265.322008,0.0584988962472406,0.0576588337684943,0.0798351238655874,0.9201648761344126,4331,103,66,96,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-018.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-033,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,276.293859,0.0584988962472406,0.0576588337684943,0.0798351238655874,0.9201648761344126,4331,103,66,96,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-033.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-034,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,265.219788,0.0584988962472406,0.0576588337684943,0.0798351238655874,0.9201648761344126,4331,103,66,96,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-034.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-019,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,219.484938,0.0587196467991169,0.0582566798072711,0.0813239468390141,0.918676053160986,4300,107,36,123,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-019.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-020,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,219.537973,0.0587196467991169,0.0582566798072711,0.0813239468390141,0.918676053160986,4300,107,36,123,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-020.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-035,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,219.403306,0.0587196467991169,0.0582566798072711,0.0813239468390141,0.918676053160986,4300,107,36,123,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-035.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-036,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,219.424471,0.0587196467991169,0.0582566798072711,0.0813239468390141,0.918676053160986,4300,107,36,123,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-036.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-029,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,439.366331,0.0598233995584989,0.0591057797164667,0.0835825702100502,0.9164174297899498,4314,114,55,102,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-029.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-030,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,439.329742,0.0598233995584989,0.0591057797164667,0.0835825702100502,0.9164174297899498,4314,114,55,102,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-030.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-045,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,439.331482,0.0598233995584989,0.0591057797164667,0.0835825702100502,0.9164174297899498,4314,114,55,102,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-045.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-046,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,439.373979,0.0598233995584989,0.0591057797164667,0.0835825702100502,0.9164174297899498,4314,114,55,102,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-046.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-007,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,167.046225,0.0611479028697571,0.0604803493449781,0.0827255262146234,0.9172744737853764,4303,103,50,124,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-007.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-008,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,166.904989,0.0611479028697571,0.0604803493449781,0.0827255262146234,0.9172744737853764,4303,103,50,124,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-008.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-023,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,235.584651,0.0611479028697571,0.0605729280559807,0.0840630806612987,0.9159369193387012,4296,109,43,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-023.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-024,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,235.604319,0.0611479028697571,0.0605729280559807,0.0840630806612987,0.9159369193387012,4296,109,43,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-024.html,"{'model_name': 'large', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-025,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,418.226695,0.0611479028697571,0.0604275741710296,0.0845120267842028,0.9154879732157972,4307,112,54,111,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-025.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-026,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,418.240703,0.0611479028697571,0.0604275741710296,0.0845120267842028,0.9154879732157972,4307,112,54,111,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-026.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-039,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,235.466663,0.0611479028697571,0.0605729280559807,0.0840630806612987,0.9159369193387012,4296,109,43,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-039.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-040,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,235.209176,0.0611479028697571,0.0605729280559807,0.0840630806612987,0.9159369193387012,4296,109,43,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-040.html,"{'model_name': 'large-v3', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-041,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,417.929541,0.0611479028697571,0.0604275741710296,0.0845120267842028,0.9154879732157972,4307,112,54,111,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-041.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-042,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,418.033015,0.0611479028697571,0.0604275741710296,0.0845120267842028,0.9154879732157972,4307,112,54,111,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-042.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-031,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.510023,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-031.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-032,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.579627,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-032.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-047,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.593631,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-047.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-048,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.579654,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-048.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-011,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,199.987223,0.062251655629139,0.0616124098754642,0.0853120060136179,0.914687993986382,4295,110,47,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-011.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-012,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,199.28102,0.062251655629139,0.0616124098754642,0.0853120060136179,0.914687993986382,4295,110,47,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-012.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-015,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,217.672622,0.062251655629139,0.0616797900262467,0.0845616872942588,0.9154383127057412,4290,106,42,134,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-015.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-016,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,217.771041,0.062251655629139,0.0616797900262467,0.0845616872942588,0.9154383127057412,4290,106,42,134,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-016.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-027,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.402533,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-027.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-028,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.26932,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-028.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-043,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.294513,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-043.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-044,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.333237,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-044.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
