run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff
bb158br2509-google-001,bb158br2509,bb158br2509_sl.m4a,en-us,bb158br2509_script.txt,en,371.53164,0.20490174431441818,0.20143260256131973,0.28021977612908633,0.7197802238709137,3679,395,78,455,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bb158br2509-google-001.html
bg405cn7261-google-002,bg405cn7261,bg405cn7261_v2_sl.mp4,en-us,bg405cn7261_v2_sl_script.txt,en,147.690927,0.10262008733624454,0.1,0.1511685551567996,0.8488314448432004,1692,101,48,39,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bg405cn7261-google-002.html
br525sp8033-google-003,br525sp8033,br525sp8033_FV4289_v4_sl.mp4,ru-ru,br525sp8033_FV4289_v4_sl_rus_script.txt,ru,66.370127,0.1950354609929078,0.19434628975265017,0.3247603460369418,0.6752396539630582,228,44,1,10,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/br525sp8033-google-003.html
bw689yg2740-google-004,bw689yg2740,bw689yg2740_sl.mp4,en-us,bw689yg2740_script.txt,en,1179.738494,0.2194712176142895,0.20857142857142857,0.29110648887777224,0.7088935111222278,9418,1055,591,836,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bw689yg2740-google-004.html
fh290wd1772-google-005,fh290wd1772,fh290wd1772_v2_sp_sl.m4a,en-us,fh290wd1772_v2_sp_sl_script.txt,en,56.591692,0.8604651162790697,0.8604651162790697,0.8953488372093024,0.10465116279069767,48,16,0,280,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/fh290wd1772-google-005.html
gj097zq7635-google-006,gj097zq7635,gj097zq7635_a_sl.m4a,en-us,gj097zq7635_a_sl_script.txt,en,1115.618562,0.37964088024841364,0.3690288713910761,0.5175532088180448,0.48244679118195527,4808,1448,213,1151,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gj097zq7635-google-006.html
gk220dt2833-google-007,gk220dt2833,gk220dt2833_Ali_Shan_10of10_sl.mp4,en-us,gk220dt2833_Ali_Shan_10of10_sl_script.txt,en,172.263661,0.32897033158813266,0.3168067226890756,0.43949292506830706,0.5605070749316929,813,172,44,161,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gk220dt2833-google-007.html
gn213vd3845-google-008,gn213vd3845,gn213vd3845_ev_1_sl.mp4,es-es,gn213vd3845_ev_1_sl_spa_script.txt,es,61.967422,0.3981042654028436,0.39313572542901715,0.5151040314802176,0.48489596851978245,389,96,8,148,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/gn213vd3845-google-008.html
kp010zv7055-google-009,kp010zv7055,kp010zv7055_a_sl.m4a,en-us,kp010zv7055_a_sl_script.txt,en,262.297969,1.0,1.0,1.0,0.0,0,43,0,591,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/kp010zv7055-google-009.html
qf378nj5000-google-010,qf378nj5000,qf378nj5000_sl.mp4,en-us,qf378nj5000_script.txt,en,622.68982,0.3107373428474346,0.2893529504825186,0.3890312903522539,0.6109687096477461,4492,684,435,710,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/qf378nj5000-google-010.html
tc482fh1865-google-011,tc482fh1865,tc482fh1865_kfe_project_2023_wallace_sl.mp4,en-us,tc482fh1865_kfe_project_2023_wallace_script.txt,en,52.601144,0.20333333333333334,0.1964573268921095,0.29779751833051327,0.7022024816694867,499,71,21,30,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/tc482fh1865-google-011.html
bc962wz7181-google-012,bc962wz7181,bc962wz7181_sl.m4a,ar-x-gulf,bc962wz7181_sl_script.txt,ar,662.77614,0.848772579898101,0.8452490774907749,0.9582248689148585,0.041775131085141505,671,1807,18,1840,https://sul-dlss.github.io/whisper-pilot/output-2024-07-05/bc962wz7181-google-012.html
